VBELN,KUNNR,ERDAT,ERNAM,VDATU,AUART,NETWR,WAERK
800000000000028,1005,2026-11-11,REBECCA63,2026-11-23,RUSH,24709.74,USD
800000000000029,1004,2026-06-26,GPARKER,2026-10-21,RUSH,7435.4,USD
800000000000030,1007,2026-08-17,TURNERDANA,2026-10-27,RUSH,90242.76,USD
800000000000031,1003,2026-07-27,WRICHARDS,2026-10-27,STANDARD,93720.54,USD
800000000000032,1004,2026-06-27,THOMAS42,2026-07-27,RUSH,3888.49,USD
800000000000033,1001,2026-05-02,XSMITH,2026-07-27,STANDARD,30342.51,USD
800000000000034,1009,2026-10-27,ARAMSEY,2026-10-21,RUSH,3635.79,USD
800000000000035,1002,2026-07-02,BZAMORA,2026-05-02,RUSH,40844.38,USD
800000000000036,1005,2026-05-02,MILLERALEXAN,2026-07-11,STANDARD,50694.12,USD
800000000000037,1009,2026-06-09,TIFFANYALVAR,2026-09-21,RUSH,37474.85,USD
800000000000038,1003,2026-07-11,MATTHEWCOFFE,2026-07-02,STANDARD,83337.58,USD
800000000000039,1008,2026-05-08,FWARD,2026-11-11,STANDARD,55962.37,USD
800000000000040,1006,2026-10-27,NPARKER,2026-09-28,STANDARD,76333.86,USD
800000000000041,1008,2026-07-02,VICKIEHULL,2026-11-11,RUSH,52845.51,USD
800000000000042,1002,2026-05-02,TPENA,2026-07-11,STANDARD,42167.15,USD
800000000000043,1004,2026-11-23,MICHAEL01,2026-11-24,RUSH,4897.28,USD
800000000000044,1001,2026-10-02,MATTHEWDENNI,2026-10-11,STANDARD,93128.51,USD
800000000000045,1001,2026-11-05,DEANPAUL,2026-05-02,STANDARD,53029.6,USD
800000000000046,1002,2026-05-24,BRIANMILLS,2026-09-28,RUSH,10500.48,USD
800000000000047,1007,2026-10-14,YVILLANUEVA,2026-10-31,STANDARD,17973.4,USD
800000000000048,1006,2026-05-07,QCERVANTES,2026-07-11,STANDARD,49931.86,USD
800000000000049,1003,2026-07-10,DEBRA74,2026-10-02,STANDARD,62625.84,USD
800000000000050,1005,2026-11-05,SMITHTYLER,2026-11-11,RUSH,86261.47,USD
800000000000051,1006,2026-11-11,KARLA47,2026-09-28,RUSH,54829.62,USD
800000000000052,1001,2026-06-09,STACYKIRK,2026-05-02,RUSH,5996.12,USD
800000000000053,1007,2026-11-11,MARTINEZMARI,2026-10-27,RUSH,31556.18,USD
800000000000054,1002,2026-05-02,JOSHUA04,2026-07-27,RUSH,1199.42,USD
800000000000055,1001,2026-10-11,TONY46,2026-11-05,RUSH,55220.99,USD
800000000000056,1010,2026-10-02,RSIMON,2026-07-10,RUSH,48657.01,USD
800000000000057,1010,2026-07-02,FLYNNWENDY,2026-07-27,STANDARD,81974.6,USD
800000000000058,1004,2026-06-10,GREGORYDEBBI,2026-07-11,RUSH,81051.71,USD
800000000000059,1007,2026-10-02,JOSHUA89,2026-11-05,STANDARD,79863.55,USD
800000000000060,1001,2026-10-31,GLOVERDENISE,2026-10-26,STANDARD,4429.55,USD
800000000000061,1010,2026-08-16,DAUGHERTYJOH,2026-10-27,STANDARD,37553.27,USD
800000000000062,1001,2026-05-24,GAVINMCDONAL,2026-09-21,STANDARD,95830.46,USD
800000000000063,1006,2026-06-09,RICHARDHAAS,2026-10-27,STANDARD,38194.46,USD
800000000000064,1005,2026-10-21,FERNANDEZJUS,2026-05-24,RUSH,41024.52,USD
800000000000065,1008,2026-07-02,DELGADOHARRY,2026-07-10,STANDARD,29201.78,USD
800000000000066,1010,2026-07-10,RSTEPHENS,2026-06-10,STANDARD,42924.76,USD
800000000000067,1003,2026-09-21,MATTHEWSPHIL,2026-06-27,RUSH,27463.96,USD
800000000000068,1006,2026-09-21,AARON94,2026-10-27,STANDARD,95852.54,USD
800000000000069,1001,2026-10-14,FISHERMELANI,2026-10-14,RUSH,91917.52,USD
800000000000070,1008,2026-09-21,CHRISTOPHERM,2026-11-11,RUSH,83401.27,USD
800000000000071,1004,2026-10-26,MARTINSHERI,2026-05-02,RUSH,89329.48,USD
800000000000072,1004,2026-05-09,MICHAEL90,2026-10-26,RUSH,6607.95,USD
800000000000073,1008,2026-10-31,HALEY89,2026-11-24,RUSH,86889.2,USD
800000000000074,1002,2026-10-02,CALDWELLBRIA,2026-11-24,RUSH,55956.87,USD
800000000000075,1010,2026-05-08,ERAMIREZ,2026-11-24,STANDARD,22271.71,USD
800000000000076,1005,2026-07-27,SMILLER,2026-05-08,STANDARD,13337.98,USD
800000000000077,1005,2026-07-10,NANCYPARKER,2026-06-29,STANDARD,33014.04,USD
800000000000078,1004,2026-09-29,BMASON,2026-09-29,RUSH,88801.54,USD
800000000000079,1007,2026-10-11,BOYDJON,2026-05-24,RUSH,92659.89,USD
800000000000080,1003,2026-10-14,JACQUELINE13,2026-07-11,RUSH,2071.41,USD
800000000000081,1009,2026-11-05,MATTHEWNORMA,2026-06-29,RUSH,53490.16,USD
800000000000082,1002,2026-10-26,JOSEPH46,2026-06-29,STANDARD,24079.78,USD
800000000000083,1008,2026-08-17,CHRISTOPHERC,2026-10-26,RUSH,73017.53,USD
800000000000084,1005,2026-07-27,OBAKER,2026-06-09,RUSH,81788.32,USD
800000000000085,1002,2026-09-28,AHAWKINS,2026-11-24,STANDARD,45196.68,USD
800000000000086,1002,2026-06-27,JENNIFERHANS,2026-10-26,STANDARD,33515.03,USD
800000000000087,1010,2026-05-09,MARTINEZMAUR,2026-11-11,STANDARD,92791.8,USD
800000000000088,1004,2026-05-08,BRIAN70,2026-11-05,RUSH,42463.53,USD
800000000000089,1007,2026-10-26,EMILYMILLER,2026-11-05,RUSH,24820.77,USD
800000000000090,1010,2026-06-27,KENNETHSULLI,2026-11-05,STANDARD,15763.79,USD
800000000000091,1008,2026-06-09,ERICA87,2026-08-16,RUSH,95918.72,USD
800000000000092,1006,2026-05-07,SARAHFRANCO,2026-11-24,STANDARD,20377.77,USD
800000000000093,1005,2026-11-23,SANCHEZGABRI,2026-06-09,RUSH,11320.2,USD
800000000000094,1003,2026-10-31,WYATTDOUGLAS,2026-05-09,RUSH,12491.2,USD
800000000000095,1010,2026-10-14,PRATTPAM,2026-07-27,RUSH,27603.99,USD
800000000000096,1002,2026-09-28,VHERNANDEZ,2026-06-10,STANDARD,58790.45,USD
800000000000097,1005,2026-10-11,PALMERMARY,2026-05-09,RUSH,77815.7,USD
800000000000098,1002,2026-06-09,JESSICA79,2026-09-28,STANDARD,44669.46,USD
800000000000099,1006,2026-09-21,BTREVINO,2026-10-02,RUSH,32096.35,USD
800000000000100,1001,2026-05-02,SMITHANGELA,2026-10-27,RUSH,29626.15,USD
800000000000101,1001,2026-07-27,DOUGLASFISHE,2026-06-10,RUSH,88664.17,USD
800000000000102,1003,2026-09-21,HFISCHER,2026-07-11,RUSH,17050.81,USD
800000000000103,1009,2026-09-28,KKING,2026-05-02,RUSH,45531.07,USD
800000000000104,1003,2026-09-29,DARYLROBINSO,2026-11-05,STANDARD,64477.29,USD
800000000000105,1007,2026-06-09,JOSHUATORRES,2026-10-14,RUSH,53201.07,USD
800000000000106,1005,2026-11-23,SAMANTHA65,2026-10-21,RUSH,11080.54,USD
800000000000107,1003,2026-09-28,CHELSEA87,2026-08-17,RUSH,13209.08,USD
800000000000108,1003,2026-06-10,MADISONBRADL,2026-08-17,RUSH,18327.95,USD
800000000000109,1010,2026-11-05,RICHARDSMITH,2026-05-08,RUSH,45920.76,USD
800000000000110,1006,2026-07-02,KELLIMARTINE,2026-07-10,RUSH,63766.92,USD
800000000000111,1008,2026-07-27,DYLANBERNARD,2026-07-27,RUSH,52676.23,USD
800000000000112,1006,2026-08-16,MOSLEYCRYSTA,2026-07-11,RUSH,2941.42,USD
800000000000113,1008,2026-05-08,BUTLERJEAN,2026-08-16,RUSH,90108.13,USD
800000000000114,1009,2026-05-09,HEATHER30,2026-05-02,STANDARD,44201.94,USD
800000000000115,1004,2026-06-26,DIANE85,2026-08-16,RUSH,45884.18,USD
800000000000116,1006,2026-09-21,BERGERFRANK,2026-07-02,RUSH,87095.74,USD
800000000000117,1009,2026-11-23,DEBRA19,2026-09-29,RUSH,33519.39,USD
800000000000118,1001,2026-05-08,PARKSDEANNA,2026-09-28,RUSH,92714.06,USD
800000000000119,1002,2026-10-26,HUNTREBECCA,2026-11-05,RUSH,83118.96,USD
800000000000120,1007,2026-06-27,EMILY19,2026-06-10,RUSH,91841.04,USD
800000000000121,1008,2026-09-28,JACKNORMAN,2026-09-29,RUSH,92054.44,USD
800000000000122,1003,2026-10-14,AYATES,2026-11-23,STANDARD,9117.32,USD
800000000000123,1006,2026-05-07,LTHOMAS,2026-09-29,STANDARD,18478.51,USD
800000000000124,1010,2026-06-26,MOYERNANCY,2026-08-16,RUSH,92434.75,USD
800000000000125,1005,2026-10-26,SALAZARCASSI,2026-09-21,STANDARD,8435.34,USD
800000000000126,1007,2026-07-02,GFISHER,2026-05-07,RUSH,78001.48,USD
800000000000127,1006,2026-10-27,PARKERMCDANI,2026-10-31,STANDARD,19833.52,USD
800000000000128,1003,2026-06-26,COREYCOX,2026-05-02,STANDARD,80172.62,USD
800000000000129,1007,2026-10-26,BURNSBRITTAN,2026-10-02,RUSH,34526.53,USD
800000000000130,1010,2026-10-26,WEAVERCODY,2026-09-29,RUSH,10268.24,USD
800000000000131,1007,2026-05-08,XWILSON,2026-10-31,RUSH,80226.62,USD
800000000000132,1006,2026-11-24,PERRYRACHEL,2026-10-11,STANDARD,97203.11,USD
800000000000133,1001,2026-08-16,MEGANWILLIAM,2026-11-11,STANDARD,63736.62,USD
800000000000134,1006,2026-06-10,PENANANCY,2026-08-17,STANDARD,42227.89,USD
800000000000135,1008,2026-08-16,DAWNHALL,2026-07-10,RUSH,78007.33,USD
800000000000136,1001,2026-11-11,GADAMS,2026-09-29,STANDARD,76469.89,USD
800000000000137,1006,2026-10-14,SAMUEL54,2026-07-27,RUSH,96490.29,USD
800000000000138,1003,2026-08-17,THOMAS59,2026-08-17,RUSH,71043.29,USD
800000000000139,1010,2026-07-10,HARRY79,2026-10-11,STANDARD,88374.18,USD
800000000000140,1004,2026-10-14,SMITHCHARLES,2026-11-05,STANDARD,98798.62,USD
800000000000141,1005,2026-06-10,JACOB73,2026-05-24,STANDARD,59295.34,USD
800000000000142,1003,2026-06-29,LISA52,2026-06-29,STANDARD,73923.49,USD
800000000000143,1004,2026-07-27,JULIACASTRO,2026-10-31,RUSH,10408.82,USD
800000000000144,1004,2026-07-02,KAITLINWILSO,2026-11-05,RUSH,26193.93,USD
800000000000145,1004,2026-07-10,SHARONDUNCAN,2026-05-08,STANDARD,50534.39,USD
800000000000146,1003,2026-10-02,NBARKER,2026-10-27,RUSH,69712.4,USD
800000000000147,1004,2026-05-09,PAIGE88,2026-08-16,STANDARD,19249.65,USD
800000000000148,1002,2026-06-29,JOSEGREEN,2026-06-09,STANDARD,12402.88,USD
800000000000149,1008,2026-07-11,CURTISCHRIST,2026-09-21,STANDARD,69304.11,USD
800000000000150,1007,2026-11-23,ADKINSSUSAN,2026-11-24,RUSH,46935.71,USD
800000000000151,1005,2026-05-07,KEITHCASTILL,2026-11-24,STANDARD,6304.82,USD
800000000000152,1003,2026-10-14,MICHELLECOHE,2026-07-10,STANDARD,2175.09,USD
800000000000153,1008,2026-08-16,WILLIAM05,2026-06-29,STANDARD,48348.65,USD
800000000000154,1006,2026-05-07,MARIASMITH,2026-10-27,RUSH,12648.11,USD
800000000000155,1010,2026-10-31,CKAISER,2026-05-07,RUSH,81205.39,USD
800000000000156,1005,2026-05-09,LAURAWATSON,2026-05-07,STANDARD,32176.23,USD
800000000000157,1006,2026-09-28,ALEXANDERSTE,2026-05-09,RUSH,54037.94,USD
800000000000158,1007,2026-11-05,MDEAN,2026-08-17,STANDARD,97691.89,USD
800000000000159,1004,2026-09-29,GOODWINDEVON,2026-05-07,STANDARD,57409.75,USD
800000000000160,1001,2026-06-09,TNOVAK,2026-07-11,STANDARD,15758.7,USD
800000000000161,1002,2026-05-07,TRAVIS39,2026-07-02,STANDARD,99321.45,USD
800000000000162,1004,2026-09-29,KGALLOWAY,2026-05-24,STANDARD,30411.81,USD
800000000000163,1003,2026-10-02,WILLIAMLONG,2026-07-02,RUSH,53052.26,USD
800000000000164,1001,2026-11-23,KARENPARRISH,2026-07-10,RUSH,41999.96,USD
800000000000165,1003,2026-11-11,BANDERSON,2026-11-05,STANDARD,41504.1,USD
800000000000166,1002,2026-10-31,VCALDWELL,2026-10-21,STANDARD,41218.3,USD
800000000000167,1003,2026-10-02,MEYERSCHARLE,2026-11-11,STANDARD,43976.29,USD
800000000000168,1005,2026-09-28,DUNNMICHAEL,2026-05-24,STANDARD,13271.25,USD
800000000000169,1004,2026-11-11,MARIAWILEY,2026-06-29,STANDARD,53942.2,USD
800000000000170,1002,2026-10-27,DIANE26,2026-06-26,STANDARD,46088.43,USD
800000000000171,1009,2026-09-28,BERRYWENDY,2026-05-02,RUSH,31969.28,USD
800000000000172,1003,2026-05-07,JOHN77,2026-11-24,STANDARD,35544.11,USD
800000000000173,1003,2026-07-10,TASHASMITH,2026-10-26,STANDARD,23298.4,USD
800000000000174,1008,2026-10-26,JUSTINRUIZ,2026-10-11,STANDARD,69486.97,USD
800000000000175,1004,2026-05-02,LISA98,2026-11-23,STANDARD,78613.96,USD
800000000000176,1003,2026-06-27,CHELSEAKLEIN,2026-11-11,STANDARD,84746.33,USD
800000000000177,1004,2026-08-17,VMORRIS,2026-10-02,STANDARD,9330.42,USD
800000000000178,1006,2026-11-23,MICHELLEROGE,2026-11-24,STANDARD,36109.12,USD
800000000000179,1007,2026-05-07,BRANDONGRAY,2026-10-11,RUSH,44329.06,USD
800000000000180,1010,2026-05-09,HALEYDANIEL,2026-10-11,STANDARD,14105.06,USD
800000000000181,1006,2026-10-21,ASANTOS,2026-08-17,STANDARD,38011.14,USD
800000000000182,1008,2026-08-17,COURTNEY07,2026-06-29,RUSH,41558.6,USD
800000000000183,1003,2026-11-11,CARLOS08,2026-05-02,RUSH,86800.09,USD
800000000000184,1002,2026-06-29,OMOORE,2026-11-11,RUSH,5243.68,USD
800000000000185,1003,2026-10-02,JAMESKENNETH,2026-05-08,STANDARD,44429.61,USD
800000000000186,1002,2026-10-27,RYANHIGGINS,2026-07-11,RUSH,25432.89,USD
800000000000187,1004,2026-05-02,DOMINIQUEPAT,2026-11-23,RUSH,69272.61,USD
800000000000188,1007,2026-05-24,HGARRETT,2026-10-31,RUSH,9954.22,USD
800000000000189,1006,2026-11-23,RSCHMIDT,2026-06-09,STANDARD,59498.53,USD
800000000000190,1004,2026-05-09,VERONICA90,2026-06-29,STANDARD,38673.94,USD
800000000000191,1006,2026-10-02,HENRYKRISTIN,2026-05-08,RUSH,13541.49,USD
800000000000192,1010,2026-11-11,SHAWN32,2026-05-02,RUSH,69928.6,USD
800000000000193,1003,2026-05-02,MITCHELL26,2026-05-07,RUSH,50588.6,USD
800000000000194,1006,2026-05-09,HAYESMANUEL,2026-05-24,RUSH,94117.4,USD
800000000000195,1004,2026-05-24,GARNERHAROLD,2026-11-05,STANDARD,24696.84,USD
800000000000196,1003,2026-10-27,PAGEROBIN,2026-10-02,RUSH,58160.6,USD
800000000000197,1010,2026-06-26,GCHANDLER,2026-07-27,RUSH,44146.14,USD
800000000000198,1008,2026-10-11,THERESA38,2026-08-16,RUSH,80390.83,USD
800000000000199,1005,2026-09-28,NHARRISON,2026-08-17,STANDARD,79654.06,USD
800000000000200,1003,2026-07-27,PEREZPHILLIP,2026-06-26,RUSH,69050.07,USD
800000000000201,1007,2026-08-16,BROWNROBERT,2026-10-26,STANDARD,1869.12,USD
800000000000202,1007,2026-10-14,JAMIENGUYEN,2026-09-21,STANDARD,94256.83,USD
800000000000203,1006,2026-05-07,SMOORE,2026-07-27,STANDARD,45679.87,USD
800000000000204,1002,2026-05-24,ANNFRAZIER,2026-11-05,RUSH,24477.52,USD
800000000000205,1010,2026-10-31,MCCALLAARON,2026-10-02,STANDARD,20962.47,USD
800000000000206,1006,2026-10-26,JAMESJONES,2026-10-14,STANDARD,69015.03,USD
800000000000207,1003,2026-09-28,WGREER,2026-10-14,STANDARD,78167.25,USD
800000000000208,1010,2026-11-05,JAMES94,2026-06-29,STANDARD,61741.81,USD
800000000000209,1010,2026-11-24,STEWARTCASEY,2026-07-10,STANDARD,34436.6,USD
800000000000210,1005,2026-07-27,AHICKS,2026-07-27,RUSH,70585.08,USD
800000000000211,1008,2026-05-02,TODDBRANDON,2026-11-23,STANDARD,24993.84,USD
800000000000212,1007,2026-09-28,JFRAZIER,2026-06-10,RUSH,71164.46,USD
800000000000213,1005,2026-05-07,REBECCABOYD,2026-11-23,STANDARD,44810.36,USD
800000000000214,1006,2026-09-21,JOHN06,2026-10-21,RUSH,50403.9,USD
800000000000215,1010,2026-07-10,STEPHEN36,2026-05-07,RUSH,50995.44,USD
800000000000216,1004,2026-10-02,GEORGEFLORES,2026-06-29,STANDARD,5571.93,USD
800000000000217,1006,2026-11-24,IAN24,2026-10-31,RUSH,13334.68,USD
800000000000218,1009,2026-08-16,KEITHPENNING,2026-10-21,RUSH,64089.64,USD
800000000000219,1001,2026-11-11,KEVIN58,2026-10-14,STANDARD,60055.65,USD
800000000000220,1001,2026-10-14,IMURILLO,2026-09-29,STANDARD,79351.46,USD
800000000000221,1003,2026-11-05,LARRYMITCHEL,2026-10-27,STANDARD,38433.15,USD
800000000000222,1005,2026-06-26,ANTHONYCOOKE,2026-05-24,STANDARD,1286.66,USD
800000000000223,1001,2026-10-31,HARRISJAMES,2026-07-02,RUSH,93238.76,USD
800000000000224,1004,2026-06-26,PAULAMEYERS,2026-09-28,STANDARD,22333.78,USD
800000000000225,1003,2026-08-16,TURNERJOSHUA,2026-09-29,STANDARD,72857.5,USD
800000000000226,1008,2026-11-05,TIMOTHY23,2026-10-11,RUSH,12768.92,USD
800000000000227,1004,2026-09-21,MACDONALDERI,2026-07-02,RUSH,2109.05,USD
800000000000228,1009,2026-10-26,MICHAELNICHO,2026-11-24,STANDARD,92525.92,USD
800000000000229,1003,2026-09-21,OELLIS,2026-10-11,RUSH,11618.07,USD
800000000000230,1001,2026-06-10,LEATON,2026-05-07,RUSH,30524.69,USD
800000000000231,1010,2026-10-27,HARTCYNTHIA,2026-10-02,RUSH,27699.6,USD
800000000000232,1009,2026-06-29,JULIA43,2026-05-02,RUSH,44141.59,USD
800000000000233,1004,2026-07-27,DAMON77,2026-09-28,STANDARD,8079.84,USD
800000000000234,1009,2026-09-28,DDAVIS,2026-06-26,RUSH,2347.23,USD
800000000000235,1009,2026-06-27,SARAKING,2026-11-05,RUSH,8960.41,USD
800000000000236,1004,2026-07-10,WLUCERO,2026-09-28,RUSH,92444.96,USD
800000000000237,1010,2026-09-21,MICHAEL26,2026-10-26,STANDARD,99947.77,USD
800000000000238,1008,2026-07-02,NATALIE22,2026-09-29,STANDARD,53550.49,USD
800000000000239,1004,2026-11-05,ANDERSONPAUL,2026-05-09,STANDARD,33332.32,USD
800000000000240,1002,2026-10-27,TANYA78,2026-05-08,RUSH,44666.46,USD
800000000000241,1002,2026-10-27,SARA68,2026-10-21,STANDARD,93257.71,USD
800000000000242,1009,2026-06-09,MARTINEZERIC,2026-10-26,STANDARD,73002.2,USD
800000000000243,1002,2026-10-26,BARKERNICOLE,2026-10-02,RUSH,34546.91,USD
800000000000244,1007,2026-05-02,TAYLORSAVAGE,2026-05-24,RUSH,28518.15,USD
800000000000245,1002,2026-06-09,ANNA46,2026-05-07,RUSH,47159.28,USD
800000000000246,1007,2026-07-11,DELACRUZKARE,2026-11-23,STANDARD,63421.05,USD
800000000000247,1003,2026-06-26,MICHAELGILL,2026-08-16,RUSH,48272.71,USD
800000000000248,1005,2026-11-24,SANDRAROBINS,2026-09-21,STANDARD,99588.56,USD
800000000000249,1004,2026-09-29,WSANTANA,2026-05-09,RUSH,8209.02,USD
800000000000250,1005,2026-10-11,RICHANDREW,2026-11-24,RUSH,40150.02,USD
800000000000251,1010,2026-07-27,RICHARDTODD,2026-09-28,RUSH,94359.84,USD
800000000000252,1003,2026-10-27,CHARLES94,2026-06-29,STANDARD,57011.69,USD
800000000000253,1005,2026-05-24,DPETERSON,2026-10-11,RUSH,56992.93,USD
800000000000254,1007,2026-10-11,BONNIEMERRIT,2026-09-29,RUSH,44029.13,USD
800000000000255,1001,2026-05-08,LOPEZKEVIN,2026-07-02,RUSH,73395.39,USD
800000000000256,1010,2026-09-29,PGRAHAM,2026-06-29,STANDARD,95381.21,USD
800000000000257,1006,2026-07-27,BRENTVEGA,2026-07-10,STANDARD,89150.85,USD
800000000000258,1004,2026-05-09,QKING,2026-05-24,STANDARD,8022.69,USD
800000000000259,1008,2026-10-26,FRANKLINLAUR,2026-08-16,RUSH,68269.39,USD
800000000000260,1010,2026-11-23,TRACY88,2026-05-08,STANDARD,41595.16,USD
800000000000261,1010,2026-07-27,KRISTIE76,2026-05-07,STANDARD,80112.67,USD
800000000000262,1008,2026-06-09,HGILBERT,2026-07-11,STANDARD,69667.14,USD
800000000000263,1001,2026-07-11,SOLOMONAARON,2026-08-16,STANDARD,838.25,USD
800000000000264,1004,2026-07-02,MADELINE74,2026-09-29,STANDARD,39768.48,USD
800000000000265,1009,2026-08-16,HALLALICE,2026-09-21,RUSH,31011.72,USD
800000000000266,1007,2026-11-11,GFOLEY,2026-08-17,RUSH,69715.84,USD
800000000000267,1002,2026-10-27,GBROWN,2026-06-26,STANDARD,87137.51,USD
800000000000268,1007,2026-06-29,JARED17,2026-05-02,RUSH,30491.92,USD
800000000000269,1009,2026-10-14,JONATHAN36,2026-10-14,RUSH,74803.63,USD
800000000000270,1002,2026-10-21,SHANNON24,2026-05-07,RUSH,34648.24,USD
800000000000271,1002,2026-09-29,TMILLER,2026-11-05,STANDARD,19026.87,USD
800000000000272,1005,2026-10-14,MICHAEL03,2026-10-02,STANDARD,55329.08,USD
800000000000273,1007,2026-05-09,WILLIAM92,2026-09-21,STANDARD,62102.11,USD
800000000000274,1007,2026-08-17,HAMILTONMART,2026-09-28,STANDARD,90604.55,USD
800000000000275,1004,2026-05-07,CALVINWEST,2026-10-21,STANDARD,67817.82,USD
800000000000276,1003,2026-05-08,BRADLEY51,2026-09-28,STANDARD,50463.94,USD
800000000000277,1001,2026-09-21,CLAIRECLINE,2026-07-27,STANDARD,93745.45,USD
800000000000278,1004,2026-10-02,HALEYGONZALE,2026-07-27,STANDARD,52271.58,USD
800000000000279,1004,2026-10-27,ARTHUR83,2026-10-26,STANDARD,7020.03,USD
800000000000280,1007,2026-10-02,DAVIDSONRICH,2026-09-28,STANDARD,73574.55,USD
800000000000281,1004,2026-06-29,CTORRES,2026-10-21,RUSH,99026.36,USD
800000000000282,1010,2026-06-27,CONNOR20,2026-07-27,STANDARD,21941.76,USD
800000000000283,1005,2026-11-05,KIMBERLY36,2026-05-24,STANDARD,99944.08,USD
800000000000284,1001,2026-09-29,JENNIFER35,2026-05-02,STANDARD,86517.89,USD
800000000000285,1001,2026-06-27,LAURENBOOTH,2026-07-10,RUSH,65574.64,USD
800000000000286,1003,2026-07-02,ROBERT74,2026-11-23,RUSH,76569.33,USD
800000000000287,1010,2026-05-02,LARSONKELLY,2026-07-10,RUSH,17984.12,USD
800000000000288,1006,2026-05-08,WOODSRYAN,2026-10-11,RUSH,76543.62,USD
800000000000289,1008,2026-10-31,PATRICKDORSE,2026-10-26,STANDARD,24303.7,USD
800000000000290,1006,2026-09-21,ISTEWART,2026-06-09,STANDARD,34450.13,USD
800000000000291,1009,2026-10-26,MEGANDUNCAN,2026-09-29,RUSH,67018.71,USD
800000000000292,1007,2026-11-11,SHELLEYLITTL,2026-05-02,RUSH,44351.92,USD
800000000000293,1002,2026-06-29,MARTINMCCALL,2026-10-02,STANDARD,39634.45,USD
800000000000294,1007,2026-05-08,MELVIN14,2026-06-29,RUSH,57113.01,USD
800000000000295,1006,2026-10-31,RAYIAN,2026-10-21,RUSH,52454.66,USD
800000000000296,1006,2026-09-21,JEREMYJAMES,2026-07-27,RUSH,4880.62,USD
800000000000297,1002,2026-06-26,STEVENWOODAR,2026-06-10,RUSH,61667.92,USD
800000000000298,1004,2026-05-08,KATIE40,2026-09-28,STANDARD,89957.04,USD
800000000000299,1008,2026-10-11,IWILLIAMS,2026-10-31,RUSH,28974.32,USD
800000000000300,1009,2026-07-11,JACKSONWILLI,2026-10-26,RUSH,40092.63,USD
800000000000301,1008,2026-10-26,RAMIREZCHELS,2026-05-09,STANDARD,11323.94,USD
800000000000302,1006,2026-11-11,UFRENCH,2026-07-10,RUSH,20572.87,USD
800000000000303,1001,2026-10-11,JAMIEWILLIAM,2026-10-02,RUSH,66956.31,USD
800000000000304,1002,2026-06-29,RANDYBROWN,2026-06-29,STANDARD,97190.21,USD
800000000000305,1009,2026-05-07,RGONZALEZ,2026-05-24,RUSH,49913.69,USD
800000000000306,1009,2026-09-29,NGUYENMARGAR,2026-11-05,RUSH,89047.61,USD
800000000000307,1009,2026-05-02,LOPEZPATRICI,2026-10-26,STANDARD,443.38,USD
800000000000308,1010,2026-11-23,MCKINNEYJAME,2026-10-21,RUSH,20135.61,USD
800000000000309,1007,2026-10-14,ACHURCH,2026-07-11,STANDARD,73418.04,USD
